Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60601,12/17/2020,29,31,29,31,0.002,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201217
60601,12/18/2020,65,96,65,96,0.006,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201218
60601,12/19/2020,43,139,43,139,0.009,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201219
60601,12/20/2020,9,148,9,148,0.01,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201220
60601,12/21/2020,72,220,72,220,0.015,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201221
60601,12/22/2020,48,268,48,268,0.018,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201222
60601,12/23/2020,29,297,29,297,0.02,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201223
60602,01/15/2021,7,110,7,80,0.07,0,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210115
60603,12/15/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201215
60603,12/16/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201216
60603,12/17/2020,8,8,8,8,0.008,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201217
60603,12/18/2020,6,14,6,14,0.013,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201218
60603,12/19/2020,4,18,4,18,0.017,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201219
60603,12/20/2020,5,23,5,23,0.022,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201220
60603,12/21/2020,5,28,5,28,0.027,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201221
60603,12/22/2020,7,35,7,35,0.033,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201222
60603,12/23/2020,0,35,0,35,0.033,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201223
60603,12/24/2020,1,36,1,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201224
60603,12/25/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201225
60603,12/26/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201226
60603,12/27/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201227
60603,12/28/2020,1,37,1,37,0.035,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201228
60603,12/29/2020,2,39,2,39,0.037,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201229
60603,12/30/2020,3,42,3,42,0.04,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201230
60603,12/31/2020,1,43,1,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201231
60603,01/01/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210101
60603,01/02/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210102
60603,01/03/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210103
60603,01/04/2021,2,45,2,45,0.043,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210104
60603,01/05/2021,3,48,2,47,0.045,1,1,0.001,1052,POINT (-87.625473 41.880112),60603-20210105
60603,01/06/2021,1,49,1,48,0.046,0,1,0.001,1052,POINT (-87.625473 41.880112),60603-20210106
60603,01/07/2021,11,60,1,49,0.047,10,11,0.01,1052,POINT (-87.625473 41.880112),60603-20210107
60603,01/08/2021,9,69,2,51,0.048,7,18,0.017,1052,POINT (-87.625473 41.880112),60603-20210108
60603,01/09/2021,42,111,37,88,0.084,5,23,0.022,1052,POINT (-87.625473 41.880112),60603-20210109
60603,01/10/2021,3,114,1,89,0.085,2,25,0.024,1052,POINT (-87.625473 41.880112),60603-20210110
60603,01/11/2021,1,115,0,89,0.085,1,26,0.025,1052,POINT (-87.625473 41.880112),60603-20210111
60603,01/12/2021,7,122,1,90,0.086,6,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210112
60603,01/13/2021,2,124,2,92,0.087,0,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210113
60603,01/14/2021,5,129,4,96,0.091,1,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210114
60603,01/15/2021,11,140,11,107,0.102,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210115
60603,01/16/2021,34,174,34,141,0.134,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210116
60603,01/17/2021,2,176,2,143,0.136,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210117
60604,12/15/2020,0,0,0,0,0,0,0,0,823,POINT (-87.629029 41.878153),60604-20201215
60604,12/16/2020,0,0,0,0,0,0,0,0,823,POINT (-87.629029 41.878153),60604-20201216
60604,12/17/2020,0,0,0,0,0,0,0,0,823,POINT (-87.629029 41.878153),60604-20201217
60604,12/18/2020,5,5,5,5,0.006,0,0,0,823,POINT (-87.629029 41.878153),60604-20201218
60604,12/19/2020,0,5,0,5,0.006,0,0,0,823,POINT (-87.629029 41.878153),60604-20201219
60604,12/20/2020,0,5,0,5,0.006,0,0,0,823,POINT (-87.629029 41.878153),60604-20201220
60604,12/21/2020,0,5,0,5,0.006,0,0,0,823,POINT (-87.629029 41.878153),60604-20201221
60604,12/22/2020,0,5,0,5,0.006,0,0,0,823,POINT (-87.629029 41.878153),60604-20201222
60604,12/23/2020,1,6,1,6,0.007,0,0,0,823,POINT (-87.629029 41.878153),60604-20201223
60604,12/24/2020,1,7,1,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201224
60604,12/25/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201225
60604,12/26/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201226
60604,12/27/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201227
60604,12/28/2020,1,8,1,8,0.01,0,0,0,823,POINT (-87.629029 41.878153),60604-20201228
60604,12/29/2020,1,9,1,9,0.011,0,0,0,823,POINT (-87.629029 41.878153),60604-20201229
60604,12/30/2020,1,10,1,10,0.012,0,0,0,823,POINT (-87.629029 41.878153),60604-20201230
60604,12/31/2020,1,11,1,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20201231
60604,01/01/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210101
60604,01/02/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210102
60604,01/03/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210103
60604,01/04/2021,1,12,1,12,0.015,0,0,0,823,POINT (-87.629029 41.878153),60604-20210104
60604,01/05/2021,2,14,2,14,0.017,0,0,0,823,POINT (-87.629029 41.878153),60604-20210105
60604,01/07/2021,3,18,1,16,0.019,2,2,0.002,823,POINT (-87.629029 41.878153),60604-20210107
60604,01/08/2021,4,22,2,18,0.022,2,4,0.005,823,POINT (-87.629029 41.878153),60604-20210108
60604,01/09/2021,2,24,1,19,0.023,1,5,0.006,823,POINT (-87.629029 41.878153),60604-20210109
60604,01/10/2021,0,24,0,19,0.023,0,5,0.006,823,POINT (-87.629029 41.878153),60604-20210110
