0,Zip,,Under 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 Plus
3,60604,Total,7,10,6,15,103,115,50,37,34,35,36,31,44,25,13,7,1,1
3,60601,Total,329,152,107,432,1264,2374,1413,688,587,558,626,673,649,485,302,206,144,121
3,60602,Total,28,16,10,100,271,184,98,66,69,64,60,62,74,53,28,11,6,4
3,60603,Total,8,2,1,88,157,73,40,15,12,16,21,25,25,8,2,0,0,0
3,60605,Total,1059,416,253,2267,3210,3816,3221,2233,1514,1287,1175,1271,1071,724,428,317,227,179
3,60606,Total,64,13,7,16,209,564,380,260,186,137,133,114,121,58,27,10,6,3
3,60607,Total,1148,493,390,1337,3711,4384,3839,2254,1460,1157,993,821,708,449,288,198,128,139
3,60608,Total,5499,5066,5061,6219,8767,9174,8129,6634,5809,5122,4753,3743,2759,1926,1437,1069,851,721
3,60609,Total,5828,5686,5760,5777,5007,5264,5054,4705,4161,3891,3713,2998,2305,1540,1219,874,632,492
3,60610,Total,1437,965,869,1139,3955,6739,4112,2608,2093,2079,2095,1975,2298,1856,1316,887,670,633
3,60611,Total,754,339,275,379,2641,5032,3223,1864,1619,1629,1718,1973,2172,1664,1275,897,683,581
3,60612,Total,2409,2062,2164,2786,2923,3443,3392,2585,2161,1978,1951,1557,1207,866,681,542,425,340
3,60613,Total,2316,1282,903,893,5963,10323,6807,4232,3292,2665,2169,1874,1723,1193,919,728,529,470
3,60614,Total,3354,2103,1518,3366,9939,13368,7713,4851,4015,3293,2858,2529,2544,1906,1130,781,633,716
3,60615,Total,2220,2083,1943,2106,4546,4658,3527,2772,2317,2484,2464,2326,2166,1637,1196,862,685,611
3,60616,Total,2357,1886,1935,2674,5047,5137,4175,3488,3149,3150,3226,2963,2543,1848,1593,1292,1089,881
3,60617,Total,5928,6183,6930,6904,5465,5267,5031,5295,5170,5384,5652,5018,4144,3562,3074,2328,1556,1264
3,60618,Total,7505,5778,4877,4725,6507,10960,10612,8460,7010,5703,5061,4298,3436,2384,1774,1310,876,808
3,60619,Total,3683,3810,4264,4996,3785,3497,3460,3724,3783,4633,5346,4702,3631,2734,2375,1979,1685,1738
3,60620,Total,4436,4610,5448,6140,4707,4163,3868,4292,4337,5165,5202,4356,3934,3288,2978,2377,1659,1256
3,60621,Total,2813,2752,3049,3548,2878,2387,2105,1921,1961,2399,2437,2003,1491,1081,963,850,664,610
3,60622,Total,3508,1924,1780,1869,4575,10455,8569,5136,3501,2459,2154,1858,1423,984,808,605,439,501
3,60623,Total,9191,8610,8168,8320,7664,7579,7255,6567,5653,5235,4879,3984,2934,2033,1427,1144,828,637
3,60624,Total,2924,2952,3275,3913,2982,2586,2337,2283,2199,2634,2579,2038,1563,1116,973,769,587,395
3,60625,Total,5860,4753,3940,4573,6595,8992,8655,7162,5638,4991,4328,3967,2903,2080,1480,1095,837,802
3,60626,Total,3259,2393,2021,3083,5621,5413,5053,4356,3646,3389,3084,2581,2091,1340,990,679,543,597
3,60628,Total,4703,4883,5568,6546,4886,3866,3975,4293,4369,4771,5061,4283,3984,3509,2945,2176,1348,1036
3,60629,Total,10282,10373,10242,9957,9169,9130,9011,8507,7410,6875,6356,5247,3794,2535,1727,1228,1041,1032
3,60630,Total,3483,3119,3082,3087,3224,3939,4029,4016,3927,4061,4139,3702,2952,2017,1640,1347,1141,1188
