,Date,DosesDaily,DosesDailyCumulative,DoseDailtFirst,DoseDailyFirstCumulative,DoseDialyPopPercent,VacSDaily,VacSCumulative,VacSPopPercent,Population,ZipCoords,Row_ID,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
60601,2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60602,2021-02-04,9,327,7,256,0.22399999999999998,2,71,0.062,1145,POINT (-87.628309 41.883136),60602-20210204,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
60603,2021-02-04,6,371,3,318,0.302,3,53,0.05,1052,POINT (-87.625473 41.880112),60603-20210204,1628,493,187,"$676,900","$151,765",1.64,0.7322515213,361,0.03853955375,19,0.05882352941,29,110,0,2,12,181,312,24.60 years,30.50 years,22.80 years
60604,2021-02-04,1,200,1,181,0.22,0,19,0.023,823,POINT (-87.629029 41.878153),60604-20210204,995,570,358,"$480,000","$116,250",1.59,0.7789473684,444,0.08947368421,51,0.07192982456,41,79,4,0,5,279,291,32.10 years,32.50 years,31.60 years
60605,2021-02-04,89,5781,63,3826,0.132,26,1955,0.067,29060,POINT (-87.623449 41.867824),60605-20210204,33165,24668,12703,"$395,700","$111,164",1.66,0.6520593481,16085,0.19661099399999998,4850,0.06478028215,1598,3636,155,44,693,12058,12610,31.80 years,32.20 years,31.40 years
60606,2021-02-04,12,535,12,383,0.11699999999999999,0,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210204,4184,2308,1481,"$421,500","$131,477",1.54,0.804592721,1857,0.04592720971,106,0.04852686308,112,343,8,3,37,1187,1121,33.50 years,34.00 years,32.80 years
60607,2021-02-04,119,5958,62,3981,0.136,57,1977,0.067,29293,POINT (-87.652727 41.876104),60607-20210204,32898,23897,11497,"$376,800","$93,508",1.87,0.6286981629,15024,0.1718625769,4107,0.07452818345,1781,4664,139,46,625,12148,11749,30.50 years,30.80 years,30.10 years
60608,2021-02-04,220,6552,166,5198,0.065,54,1354,0.017,80059,POINT (-87.670366 41.849879),60608-20210204,62772,82739,25196,"$252,200","$44,043",2.83,0.4326980022,35801,0.1898379241,15707,0.5594580548,46289,7804,1197,110,24701,46367,36372,30.80 years,30.60 years,31.00 years
60609,2021-02-04,116,3090,96,2483,0.040999999999999995,20,607,0.01,60939,POINT (-87.653382 41.812017),60609-20210204,54066,64906,20119,"$172,000","$35,179",3.21,0.3839090377,24918,0.2969679228,19275,0.5313684405,34489,2587,785,71,19158,32356,32550,29.10 years,28.50 years,29.90 years
60610,2021-02-04,99,5247,72,3948,0.09699999999999999,27,1299,0.032,40548,POINT (-87.63581 41.90455),60610-20210204,46145,37726,23055,"$430,600","$86,803",1.58,0.7352489,27738,0.1892063829,7138,0.04681121773,1766,2786,183,36,615,16924,20802,34.40 years,34.20 years,34.60 years
