,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population_x,Row ID,ZIP Code Location,Date,DosesDaily,DosesDailyCumulative,DoseDailtFirst,DoseDailyFirstCumulative,DoseDialyPopPercent,VacSDaily,VacSCumulative,VacSPopPercent,Population_y,ZipCoords,Row_ID,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
60601,31,07/26/2020,08/01/2020,9.0,116.0,61.0,790.5,235.0,2115,1601,14412.3,0.0,0.1,0,5,0.0,34.1,14675,60601-2020-31,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,50,12/06/2020,12/12/2020,25.0,626.0,170.0,4265.8,648.0,12982,4416,88463.4,0.0,0.1,0,9,0.0,61.3,14675,60601-2020-50,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,18,04/26/2020,05/02/2020,13.0,56.0,89.0,381.6,70.0,268,477,1826.2,0.2,0.2,1,3,6.8,20.4,14675,60601-2020-18,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,14,03/29/2020,04/04/2020,5.0,28.0,34.0,190.8,21.0,94,143,640.5,0.2,0.2,0,0,0.0,0.0,14675,60601-2020-14,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,2,01/10/2021,01/16/2021,25.0,808.0,170.0,5506.0,605.0,16307,4123,111121.0,0.0,0.1,0,11,0.0,75.0,14675,60601-2021-2,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,19,05/03/2020,05/09/2020,7.0,63.0,48.0,429.3,76.0,344,518,2344.1,0.1,0.1,1,4,6.8,27.3,14675,60601-2020-19,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,40,09/27/2020,10/03/2020,4.0,213.0,27.0,1451.4,393.0,6436,2678,43856.9,0.0,0.0,0,6,0.0,40.9,14675,60601-2020-40,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,46,11/08/2020,11/14/2020,78.0,458.0,532.0,3121.0,736.0,10086,5015,68729.1,0.1,0.0,1,8,6.8,54.5,14675,60601-2020-46,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,23,05/31/2020,06/06/2020,1.0,71.0,7.0,483.8,75.0,676,511,4606.5,0.0,0.1,1,5,6.8,34.1,14675,60601-2020-23,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,51,12/13/2020,12/19/2020,55.0,681.0,375.0,4640.5,852.0,13834,5806,94269.2,0.1,0.1,1,10,6.8,68.1,14675,60601-2020-51,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,36,08/30/2020,09/05/2020,14.0,161.0,95.0,1097.1,488.0,3898,3325,26562.2,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-36,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,22,05/24/2020,05/30/2020,2.0,70.0,14.0,477.0,86.0,601,586,4095.4,0.0,0.1,0,4,0.0,27.3,14675,60601-2020-22,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,47,11/15/2020,11/21/2020,51.0,509.0,348.0,3468.5,986.0,11072,6719,75448.0,0.1,0.0,0,8,0.0,54.5,14675,60601-2020-47,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,32,08/02/2020,08/08/2020,4.0,120.0,27.0,817.7,228.0,2343,1554,15965.9,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-32,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,1,01/03/2021,01/09/2021,43.0,783.0,293.0,5335.6,759.0,15702,5172,106998.3,0.0,0.1,1,11,6.8,75.0,14675,60601-2021-1,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,27,06/28/2020,07/04/2020,3.0,89.0,20.0,606.5,162.0,1236,1104,8422.5,0.0,0.1,0,5,0.0,34.1,14675,60601-2020-27,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,15,04/05/2020,04/11/2020,5.0,33.0,34.0,224.9,38.0,132,259,899.5,0.1,0.2,0,0,0.0,0.0,14675,60601-2020-15,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,39,09/20/2020,09/26/2020,8.0,209.0,54.0,1424.2,390.0,6043,2658,41178.9,0.0,0.0,1,6,6.8,40.9,14675,60601-2020-39,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60601,35,08/23/2020,08/29/2020,13.0,147.0,89.0,1001.7,421.0,3410,2869,23236.8,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-35,POINT (-87.622844 41.886262),2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
