,Date,DosesDaily,DosesDailyCumulative,DoseDailtFirst,DoseDailyFirstCumulative,DoseDialyPopPercent,VacSDaily,VacSCumulative,VacSPopPercent,Population,ZipCoords,Row_ID,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
0,2020-12-17,29,31,29,31,0.002,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201217,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
1,2020-12-18,65,96,65,96,0.006,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201218,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
2,2020-12-19,43,139,43,139,0.009000000000000001,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201219,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
3,2020-12-20,9,148,9,148,0.01,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201220,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
4,2020-12-21,72,220,72,220,0.015,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201221,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
5,2020-12-22,48,268,48,268,0.018000000000000002,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201222,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
6,2020-12-23,29,297,29,297,0.02,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201223,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
7,2020-12-24,9,306,9,306,0.02,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201224,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
8,2020-12-25,0,306,0,306,0.02,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201225,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
9,2020-12-26,10,316,10,316,0.021,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201226,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
10,2020-12-27,0,316,0,316,0.021,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201227,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
11,2020-12-29,27,365,27,365,0.024,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201229,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
12,2020-12-30,34,399,34,399,0.026000000000000002,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201230,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
13,2020-12-31,14,413,14,413,0.027000000000000003,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201231,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
14,2021-01-01,1,414,1,414,0.027000000000000003,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20210101,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
15,2021-01-02,8,422,8,422,0.027999999999999997,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20210102,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
16,2021-01-04,33,460,31,458,0.03,2,2,0.0,15083,POINT (-87.622844 41.886262),60601-20210104,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
17,2021-01-05,36,496,34,492,0.033,2,4,0.0,15083,POINT (-87.622844 41.886262),60601-20210105,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
18,2021-01-06,20,516,13,505,0.033,7,11,0.001,15083,POINT (-87.622844 41.886262),60601-20210106,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
19,2021-01-07,56,572,18,523,0.035,38,49,0.003,15083,POINT (-87.622844 41.886262),60601-20210107,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
20,2021-01-08,84,656,22,545,0.036000000000000004,62,111,0.006999999999999999,15083,POINT (-87.622844 41.886262),60601-20210108,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
21,2021-01-09,45,701,11,556,0.037000000000000005,34,145,0.01,15083,POINT (-87.622844 41.886262),60601-20210109,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
22,2021-01-10,12,713,3,559,0.037000000000000005,9,154,0.01,15083,POINT (-87.622844 41.886262),60601-20210110,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
23,2021-01-11,64,777,10,569,0.038,54,208,0.013999999999999999,15083,POINT (-87.622844 41.886262),60601-20210111,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
24,2021-01-12,73,850,27,596,0.04,46,254,0.017,15083,POINT (-87.622844 41.886262),60601-20210112,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
25,2021-01-13,49,899,27,623,0.040999999999999995,22,276,0.018000000000000002,15083,POINT (-87.622844 41.886262),60601-20210113,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
26,2021-01-14,35,934,27,650,0.043,8,284,0.019,15083,POINT (-87.622844 41.886262),60601-20210114,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
27,2021-01-15,33,967,22,672,0.045,11,295,0.02,15083,POINT (-87.622844 41.886262),60601-20210115,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
28,2021-01-16,22,989,17,689,0.046,5,300,0.02,15083,POINT (-87.622844 41.886262),60601-20210116,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
29,2021-01-17,13,1002,7,696,0.046,6,306,0.02,15083,POINT (-87.622844 41.886262),60601-20210117,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
30,2021-01-18,31,1033,10,706,0.047,21,327,0.022000000000000002,15083,POINT (-87.622844 41.886262),60601-20210118,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
