zipcode,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
60604,995,570,358,"$480,000","$116,250",1.59,0.7789473684,444,0.08947368421,51,0.07192982456,41,79,4,0,5,279,291,32.10 years,32.50 years,31.60 years
60666,0,0,0,$0,$0,0,#DIV/0!,0,,0,#DIV/0!,0,0,0,0,0,0,0,0.00 years,0.00 years,0.00 years
60601,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
60602,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
60603,1628,493,187,"$676,900","$151,765",1.64,0.7322515213,361,0.03853955375,19,0.05882352941,29,110,0,2,12,181,312,24.60 years,30.50 years,22.80 years
60605,33165,24668,12703,"$395,700","$111,164",1.66,0.6520593481,16085,0.196610994,4850,0.06478028215,1598,3636,155,44,693,12058,12610,31.80 years,32.20 years,31.40 years
60606,4184,2308,1481,"$421,500","$131,477",1.54,0.804592721,1857,0.04592720971,106,0.04852686308,112,343,8,3,37,1187,1121,33.50 years,34.00 years,32.80 years
60607,32898,23897,11497,"$376,800","$93,508",1.87,0.6286981629,15024,0.1718625769,4107,0.07452818345,1781,4664,139,46,625,12148,11749,30.50 years,30.80 years,30.10 years
60608,62772,82739,25196,"$252,200","$44,043",2.83,0.4326980022,35801,0.1898379241,15707,0.5594580548,46289,7804,1197,110,24701,46367,36372,30.80 years,30.60 years,31.00 years
60609,54066,64906,20119,"$172,000","$35,179",3.21,0.3839090377,24918,0.2969679228,19275,0.5313684405,34489,2587,785,71,19158,32356,32550,29.10 years,28.50 years,29.90 years
60610,46145,37726,23055,"$430,600","$86,803",1.58,0.7352489,27738,0.1892063829,7138,0.04681121773,1766,2786,183,36,615,16924,20802,34.40 years,34.20 years,34.60 years
60611,41543,28718,18975,"$552,700","$103,522",1.48,0.8005083919,22989,0.04808830699,1381,0.04861062748,1396,4501,91,33,346,13104,15614,39.50 years,38.90 years,40.20 years
60612,33647,33472,13070,"$269,800","$41,300",2.44,0.2644000956,8850,0.6292722275,21063,0.1290332218,4319,1889,248,32,2207,16038,17434,31.20 years,30.50 years,32.00 years
60613,52340,48281,27476,"$332,200","$82,321",1.74,0.8215032829,39663,0.08518879062,4113,0.1000807771,4832,3315,351,73,2008,24514,23767,31.50 years,31.90 years,31.10 years
60614,69456,66617,34850,"$593,000","$107,461",1.81,0.8872810244,59108,0.04465827041,2975,0.05642703814,3759,4374,318,95,1331,31745,34872,29.80 years,30.50 years,29.30 years
60615,45901,40603,20305,"$238,500","$44,111",1.95,0.2882545625,11704,0.6412826638,26038,0.04186882743,1700,3245,415,36,734,18373,22230,33.70 years,31.80 years,35.50 years
60616,49836,48433,21421,"$316,000","$45,997",2.14,0.2966778849,14369,0.2694856813,13052,0.0873990874,4233,19775,345,57,2014,23520,24913,36.50 years,34.40 years,38.50 years
60617,76223,84155,28894,"$131,500","$40,265",2.9,0.2489335155,20949,0.5732755035,48244,0.3644109084,30667,428,983,99,15645,39258,44897,35.40 years,32.80 years,37.50 years
60618,85793,92084,35407,"$386,400","$73,810",2.59,0.6957669085,64069,0.04534989792,4176,0.4644780852,42771,5912,1436,206,20686,46094,45990,32.50 years,32.30 years,32.80 years
60619,64386,63825,26722,"$156,100","$33,454",2.38,0.01349001175,861,0.9865413239,62966,0.01113983549,711,140,537,38,311,27823,36002,40.90 years,37.60 years,43.50 years
60620,68576,72216,26058,"$139,900","$35,890",2.74,0.009485432591,685,0.9896144899,71466,0.009305417082,672,116,381,32,342,31816,40400,38.40 years,35.00 years,40.40 years
60621,31302,35912,12136,"$104,100","$20,991",2.91,0.009328358209,335,0.9878035197,35474,0.01099910893,395,77,226,27,134,16086,19826,31.10 years,28.40 years,33.50 years
60622,51798,52548,24124,"$483,900","$93,988",2.16,0.7344142498,38592,0.09429474005,4955,0.2909530334,15289,2602,554,89,7644,26577,25971,31.00 years,31.40 years,30.60 years
60623,64695,92108,25738,"$155,900","$31,634",3.56,0.3310787337,30495,0.3408064446,31391,0.6453076823,59438,283,1307,85,30933,46188,45920,27.70 years,27.10 years,28.30 years
60624,34224,38105,12701,"$164,500","$22,992",2.94,0.02787035822,1062,0.9626820627,36683,0.03044219919,1160,97,212,30,502,17668,20437,30.80 years,28.20 years,32.90 years
60625,77524,78651,29214,"$336,100","$64,117",2.63,0.6312062148,49645,0.05556191275,4370,0.3598682789,28304,12393,932,189,15005,39591,39060,32.50 years,32.20 years,32.80 years
60626,51059,50139,22545,"$203,300","$40,591",2.08,0.5500109695,27577,0.2784060312,13959,0.2302598775,11545,4303,779,137,5781,25286,24853,33.10 years,33.60 years,32.60 years
60628,70372,72202,24491,"$119,400","$40,261",2.91,0.0274369131,1981,0.9583668042,69196,0.03329547658,2404,173,530,45,1281,32612,39590,37.10 years,34.00 years,39.20 years
60629,109552,113916,30114,"$159,400","$42,019",3.77,0.4319937498,49211,0.2365953861,26952,0.6722058359,76575,877,1272,141,38689,56240,57676,28.80 years,28.20 years,29.40 years
